date,week,tests,confirmed,deaths,recovered,region
2020-10-26,43,35597,10056.0,162.0,11956.0,CZ
2020-10-27,43,47498,15334.0,194.0,8880.0,CZ
2020-10-28,43,40123,12674.0,168.0,4360.0,CZ
2020-10-29,43,42577,12867.0,199.0,13153.0,CZ
2020-10-30,43,46822,13391.0,218.0,14698.0,CZ
2020-10-31,43,36296,11293.0,194.0,14518.0,CZ
2020-11-01,43,20643,6505.0,222.0,13887.0,CZ
2020-11-02,44,32728,9130.0,223.0,15869.0,CZ
2020-11-03,44,43327,11998.0,262.0,6680.0,CZ
2020-11-04,44,45484,15638.0,226.0,5720.0,CZ
2020-11-05,44,43233,13150.0,193.0,17087.0,CZ
2020-11-06,44,40325,11477.0,216.0,17057.0,CZ
2020-11-07,44,26243,7689.0,199.0,7483.0,CZ
2020-11-08,44,13727,3588.0,204.0,15223.0,CZ
2020-11-09,45,30467,6014.0,186.0,14526.0,CZ
2020-11-10,45,37274,9004.0,214.0,6685.0,CZ
2020-11-11,45,32938,8872.0,183.0,5386.0,CZ
2020-11-12,45,31174,7819.0,171.0,13976.0,CZ
2020-11-13,45,31297,7318.0,179.0,13297.0,CZ
2020-11-14,45,16193,4181.0,183.0,12029.0,CZ
2020-11-15,45,9020,1884.0,151.0,11187.0,CZ
2020-11-16,46,26067,5336.0,173.0,10135.0,CZ
2020-11-17,46,17590,4212.0,138.0,3960.0,CZ
2020-11-18,46,24531,5482.0,154.0,3262.0,CZ
2020-11-19,46,26704,6427.0,133.0,9285.0,CZ
2020-11-20,46,25854,5757.0,116.0,9079.0,CZ
2020-11-21,46,14584,3173.0,132.0,7353.0,CZ
2020-11-22,46,7230,1496.0,125.0,6342.0,CZ
2020-11-23,47,23660,4340.0,129.0,6686.0,CZ
2020-11-24,47,24631,5824.0,136.0,2995.0,CZ
2020-11-25,47,22650,4889.0,121.0,1969.0,CZ
2020-11-26,47,20554,4004.0,131.0,7378.0,CZ
2020-11-27,47,23395,4401.0,137.0,2871.0,CZ
2020-11-28,47,12322,2620.0,117.0,6482.0,CZ
2020-11-29,47,6450,1050.0,94.0,5776.0,CZ
2020-11-30,48,22266,3521.0,126.0,5430.0,CZ
2020-12-01,48,23184,5106.0,98.0,2305.0,CZ
2020-12-02,48,22670,4497.0,115.0,1414.0,CZ
2020-12-03,48,20726,4560.0,98.0,5915.0,CZ
2020-12-04,48,22777,4688.0,94.0,5304.0,CZ
2020-12-05,48,12984,3270.0,128.0,4165.0,CZ
2020-12-06,48,6695,1087.0,87.0,3739.0,CZ
2020-12-07,49,22913,4205.0,94.0,4586.0,CZ
2020-12-08,49,26195,5795.0,93.0,1760.0,CZ
2020-12-09,49,25268,6349.0,81.0,1171.0,CZ
2020-12-10,49,25571,5810.0,113.0,5133.0,CZ
2020-12-11,49,28465,6143.0,105.0,4987.0,CZ
2020-12-12,49,16087,3595.0,97.0,4112.0,CZ
2020-12-13,49,8976,1977.0,107.0,4104.0,CZ
2020-12-14,50,26378,5125.0,130.0,4767.0,CZ
2020-12-15,50,32175,7804.0,105.0,1923.0,CZ
2020-12-16,50,32492,8148.0,112.0,1456.0,CZ
2020-12-17,50,31303,7503.0,106.0,6200.0,CZ
2020-12-18,50,34018,8697.0,98.0,6185.0,CZ
2020-12-19,50,21345,5239.0,112.0,5550.0,CZ
2020-12-20,50,11598,3365.0,97.0,5456.0,CZ
2020-12-21,51,29532,7813.0,102.0,6216.0,CZ
2020-12-22,51,36288,10836.0,102.0,2649.0,CZ
2020-12-23,51,41867,14045.0,114.0,1878.0,CZ
2020-12-24,51,10713,4331.0,109.0,7587.0,CZ
2020-12-25,51,7819,2654.0,105.0,7833.0,CZ
2020-12-26,51,8715,3009.0,122.0,7761.0,CZ
2020-12-27,51,10483,3754.0,108.0,7300.0,CZ
2020-12-28,52,28201,10877.0,132.0,8415.0,CZ
2020-12-29,52,36075,16404.0,131.0,3989.0,CZ
2020-12-30,52,35441,16937.0,149.0,3196.0,CZ
2020-12-31,52,27906,13230.0,127.0,11052.0,CZ
2021-01-01,0,6584,3425.0,150.0,12247.0,CZ
2021-01-02,0,13449,4944.0,152.0,11142.0,CZ
2021-01-03,0,15322,6214.0,141.0,2072.0,CZ
2021-01-04,1,35177,12865.0,150.0,2383.0,CZ
2021-01-05,1,43939,17259.0,178.0,3802.0,CZ
2021-01-06,1,39003,17660.0,157.0,4919.0,CZ
2021-01-07,1,38972,14791.0,186.0,14500.0,CZ
2021-01-08,1,38752,13035.0,195.0,15976.0,CZ
2021-01-09,1,21078,8392.0,160.0,16187.0,CZ
2021-01-10,1,12316,4274.0,182.0,8667.0,CZ
2021-01-11,2,33988,9322.0,164.0,2071.0,CZ
2021-01-12,2,36355,10747.0,174.0,6889.0,CZ
2021-01-13,2,32371,10856.0,164.0,6299.0,CZ
2021-01-14,2,30208,8015.0,177.0,18049.0,CZ
2021-01-15,2,31187,9224.0,164.0,17390.0,CZ
2021-01-16,2,17389,5210.0,152.0,14896.0,CZ
2021-01-17,2,8835,2617.0,155.0,13272.0,CZ
2021-01-18,3,29801,7578.0,157.0,12713.0,CZ
2021-01-19,3,31789,9527.0,152.0,5310.0,CZ
2021-01-20,3,28594,8151.0,146.0,4341.0,CZ
2021-01-21,3,25138,7472.0,148.0,12262.0,CZ
2021-01-22,3,30391,8394.0,133.0,10518.0,CZ
2021-01-23,3,14134,4212.0,142.0,9597.0,CZ
2021-01-24,3,7885,2370.0,143.0,8010.0,CZ
2021-01-25,4,27261,6927.0,134.0,8704.0,CZ
2021-01-26,4,29443,9148.0,142.0,3685.0,CZ
2021-01-27,4,30486,8454.0,157.0,2753.0,CZ
2021-01-28,4,25817,7962.0,133.0,9625.0,CZ
2021-01-29,4,31329,7976.0,150.0,8887.0,CZ
2021-01-30,4,14426,4022.0,122.0,7871.0,CZ
2021-01-31,4,7632,2561.0,116.0,6942.0,CZ
2021-02-01,5,27495,7174.0,132.0,7618.0,CZ
2021-02-02,5,29984,9099.0,134.0,3158.0,CZ
2021-02-03,5,31796,9570.0,133.0,2636.0,CZ
2021-02-04,5,27744,8069.0,127.0,9793.0,CZ
2021-02-05,5,31194,8579.0,124.0,8928.0,CZ
2021-02-06,5,14899,4792.0,127.0,7686.0,CZ
2021-02-07,5,7819,2431.0,128.0,6884.0,CZ
2021-02-08,6,25605,7725.0,133.0,7711.0,CZ
2021-02-09,6,31375,10230.0,133.0,2909.0,CZ
2021-02-10,6,29928,9484.0,133.0,2615.0,CZ
2021-02-11,6,28230,8974.0,128.0,9786.0,CZ
2021-02-12,6,31058,8783.0,142.0,9008.0,CZ
2021-02-13,6,16458,5105.0,115.0,8367.0,CZ
2021-02-14,6,8388,2818.0,144.0,7612.0,CZ
2021-02-15,7,29117,8864.0,129.0,8409.0,CZ
2021-02-16,7,34541,12542.0,149.0,3104.0,CZ
2021-02-17,7,32781,10883.0,132.0,2661.0,CZ
2021-02-18,7,34073,11641.0,171.0,10377.0,CZ
2021-02-19,7,37505,11222.0,175.0,9506.0,CZ
2021-02-20,7,18806,6727.0,173.0,9111.0,CZ
2021-02-21,7,9572,4039.0,144.0,8207.0,CZ
2021-02-22,8,33899,11357.0,165.0,9032.0,CZ
2021-02-23,8,40914,15745.0,147.0,3447.0,CZ
2021-02-24,8,40169,13733.0,140.0,3077.0,CZ
2021-02-25,8,39765,14491.0,179.0,12109.0,CZ
2021-02-26,8,41855,14668.0,190.0,11021.0,CZ
2021-02-27,8,23064,7767.0,186.0,10960.0,CZ
2021-02-28,8,11706,4559.0,170.0,10610.0,CZ
2021-03-01,9,35103,12263.0,202.0,11416.0,CZ
2021-03-02,9,44561,16696.0,192.0,4669.0,CZ
2021-03-03,9,41145,15143.0,198.0,3972.0,CZ
2021-03-04,9,39854,14576.0,213.0,15408.0,CZ
2021-03-05,9,42795,13085.0,178.0,14780.0,CZ
2021-03-06,9,22005,9053.0,197.0,13940.0,CZ
2021-03-07,9,11096,3926.0,196.0,12950.0,CZ
2021-03-08,10,32802,10584.0,235.0,13049.0,CZ
2021-03-09,10,39767,15245.0,219.0,5361.0,CZ
2021-03-10,10,40974,14452.0,223.0,4673.0,CZ
2021-03-11,10,35277,11182.0,222.0,594.0,CZ
2021-03-12,10,39756,14854.0,208.0,580.0,CZ
2021-03-13,10,17575,6906.0,173.0,217.0,CZ
2021-03-14,10,8271,3289.0,220.0,199.0,CZ
2021-03-15,11,33473,10557.0,232.0,16771.0,CZ
2021-03-16,11,37363,13955.0,210.0,15199.0,CZ
2021-03-17,11,34331,11955.0,191.0,14362.0,CZ
2021-03-18,11,30842,10593.0,212.0,13468.0,CZ
2021-03-19,11,32085,9632.0,171.0,13103.0,CZ
2021-03-20,11,17104,5413.0,172.0,4755.0,CZ
2021-03-21,11,7951,2351.0,184.0,3845.0,CZ
2021-03-22,12,29594,8179.0,201.0,15478.0,CZ
2021-03-23,12,33537,10908.0,187.0,14341.0,CZ
2021-03-24,12,28208,8769.0,179.0,12854.0,CZ
2021-03-25,12,27649,7799.0,150.0,12069.0,CZ
2021-03-26,12,27101,7568.0,139.0,11827.0,CZ
2021-03-27,12,12613,3921.0,168.0,176.0,CZ
2021-03-28,12,6308,1703.0,102.0,123.0,CZ
2021-03-29,13,26996,6862.0,,,CZ
2021-03-30,13,28964,8558.0,,,CZ
2021-03-31,13,26000,7155.0,,,CZ
2021-04-01,13,24831,6164.0,,,CZ
2021-04-02,13,14627,3757.0,,,CZ
2021-04-03,13,8347,2123.0,,,CZ
2021-04-04,13,7087,1893.0,,,CZ
2021-04-05,14,7572,1371.0,,,CZ
2021-04-06,14,25661,,,,CZ
2021-04-07,14,27782,,,,CZ
2021-04-08,14,22327,,,,CZ
2021-04-09,14,22367,,,,CZ
