date,confirmed,tests,deaths,recovered,region
2020-11-28,26315.0,225940.0,686.0,24214.0,IT
2020-11-29,20646.0,176934.0,541.0,13642.0,IT
2020-11-30,16376.0,130524.0,672.0,23004.0,IT
2020-12-01,19347.0,182100.0,785.0,27088.0,IT
2020-12-02,20709.0,207143.0,684.0,38740.0,IT
2020-12-03,23219.0,220047.0,993.0,23474.0,IT
2020-12-04,24110.0,212741.0,814.0,25576.0,IT
2020-12-05,21052.0,194984.0,662.0,23923.0,IT
2020-12-06,18887.0,163550.0,564.0,17186.0,IT
2020-12-07,13679.0,111217.0,528.0,19638.0,IT
2020-12-08,14837.0,149232.0,634.0,25497.0,IT
2020-12-09,12755.0,118475.0,499.0,39266.0,IT
2020-12-10,16998.0,171586.0,887.0,30099.0,IT
2020-12-11,18726.0,190416.0,761.0,24169.0,IT
2020-12-12,19902.0,196439.0,649.0,24728.0,IT
2020-12-13,17937.0,152697.0,484.0,16270.0,IT
2020-12-14,12025.0,103584.0,491.0,22456.0,IT
2020-12-15,14839.0,164431.0,846.0,25789.0,IT
2020-12-16,17568.0,199489.0,680.0,34495.0,IT
2020-12-17,18233.0,-47510.0,683.0,27913.0,IT
2020-12-18,15401.0,179800.0,674.0,22272.0,IT
2020-12-19,16305.0,176185.0,553.0,23384.0,IT
2020-12-20,15102.0,137420.0,352.0,12156.0,IT
2020-12-21,10869.0,87889.0,415.0,19632.0,IT
2020-12-22,13316.0,157705.0,628.0,20315.0,IT
2020-12-23,13908.0,183864.0,553.0,20494.0,IT
2020-12-24,18039.0,193777.0,505.0,22718.0,IT
2020-12-25,19037.0,152334.0,459.0,32324.0,IT
2020-12-26,10429.0,81564.0,268.0,9104.0,IT
2020-12-27,8913.0,59879.0,298.0,7798.0,IT
2020-12-28,8581.0,68681.0,445.0,14675.0,IT
2020-12-29,11210.0,128740.0,659.0,17044.0,IT
2020-12-30,16202.0,169045.0,575.0,19960.0,IT
2020-12-31,23477.0,186004.0,555.0,17421.0,IT
2021-01-01,22210.0,157524.0,462.0,16877.0,IT
2021-01-02,11825.0,67174.0,364.0,9166.0,IT
2021-01-03,14245.0,102974.0,347.0,14746.0,IT
2021-01-04,10798.0,77993.0,348.0,16206.0,IT
2021-01-05,15375.0,135106.0,649.0,16023.0,IT
2021-01-06,20326.0,178596.0,548.0,20227.0,IT
2021-01-07,18416.0,121275.0,414.0,15659.0,IT
2021-01-08,17529.0,140267.0,620.0,17575.0,IT
2021-01-09,19976.0,172119.0,483.0,17040.0,IT
2021-01-10,18625.0,139758.0,361.0,11174.0,IT
2021-01-11,12530.0,91656.0,448.0,16035.0,IT
2021-01-12,14242.0,141641.0,616.0,19565.0,IT
2021-01-13,15773.0,175429.0,507.0,20532.0,IT
2021-01-14,17243.0,160585.0,522.0,20115.0,IT
2021-01-15,16144.0,273506.0,477.0,18979.0,IT
2021-01-16,16310.0,261404.0,475.0,16186.0,IT
2021-01-17,12544.0,211078.0,377.0,16510.0,IT
2021-01-18,8825.0,158674.0,377.0,14763.0,IT
2021-01-19,10496.0,254070.0,603.0,21428.0,IT
2021-01-20,13568.0,279762.0,524.0,25015.0,IT
2021-01-21,14055.0,267567.0,521.0,20519.0,IT
2021-01-22,13633.0,264728.0,472.0,27676.0,IT
2021-01-23,13331.0,286331.0,488.0,16062.0,IT
2021-01-24,11628.0,216211.0,299.0,10885.0,IT
2021-01-25,8559.0,126931.0,420.0,15787.0,IT
2021-01-26,10584.0,256287.0,541.0,19256.0,IT
2021-01-27,15191.0,293770.0,467.0,19172.0,IT
2021-01-28,14360.0,275579.0,492.0,17220.0,IT
2021-01-29,13563.0,268750.0,477.0,19879.0,IT
2021-01-30,12713.0,298010.0,421.0,16764.0,IT
2021-01-31,11249.0,213364.0,237.0,20396.0,IT
2021-02-01,7925.0,142419.0,329.0,13975.0,IT
2021-02-02,9651.0,244429.0,498.0,18977.0,IT
2021-02-03,13182.0,279307.0,476.0,15748.0,IT
2021-02-04,13656.0,270142.0,422.0,17680.0,IT
2021-02-05,14213.0,270507.0,377.0,14995.0,IT
2021-02-06,13439.0,282407.0,385.0,15138.0,IT
2021-02-07,11640.0,206789.0,270.0,11380.0,IT
2021-02-08,7969.0,144270.0,307.0,15082.0,IT
2021-02-09,10612.0,274263.0,422.0,15827.0,IT
2021-02-10,12947.0,310994.0,336.0,16467.0,IT
2021-02-11,15137.0,292533.0,391.0,19838.0,IT
2021-02-12,13893.0,287619.0,316.0,16422.0,IT
2021-02-13,13523.0,290534.0,311.0,13973.0,IT
2021-02-14,11060.0,205642.0,221.0,9469.0,IT
2021-02-15,7344.0,179278.0,258.0,11771.0,IT
2021-02-16,10368.0,274019.0,336.0,14444.0,IT
2021-02-17,12066.0,294411.0,369.0,16519.0,IT
2021-02-18,13755.0,288458.0,342.0,17776.0,IT
2021-02-19,15470.0,297128.0,353.0,17170.0,IT
2021-02-20,14914.0,306078.0,251.0,12488.0,IT
2021-02-21,13450.0,250986.0,232.0,8946.0,IT
2021-02-22,9617.0,170672.0,274.0,10335.0,IT
2021-02-23,13299.0,303850.0,356.0,12898.0,IT
2021-02-24,16402.0,340247.0,318.0,14599.0,IT
2021-02-25,19871.0,353704.0,308.0,12853.0,IT
2021-02-26,20488.0,325404.0,253.0,11714.0,IT
2021-02-27,18902.0,323047.0,280.0,11320.0,IT
2021-02-28,17440.0,257024.0,192.0,6847.0,IT
2021-03-01,13106.0,170633.0,246.0,10894.0,IT
2021-03-02,17063.0,335983.0,343.0,10057.0,IT
2021-03-03,20840.0,358884.0,347.0,14068.0,IT
2021-03-04,22845.0,339635.0,339.0,13488.0,IT
2021-03-05,24010.0,378463.0,297.0,13682.0,IT
2021-03-06,23633.0,355024.0,307.0,13984.0,IT
2021-03-07,20724.0,271336.0,207.0,13467.0,IT
2021-03-08,13882.0,184684.0,318.0,13893.0,IT
2021-03-09,19725.0,345972.0,376.0,12999.0,IT
2021-03-10,22275.0,361040.0,332.0,13752.0,IT
2021-03-11,25649.0,372217.0,373.0,15000.0,IT
2021-03-12,26790.0,369636.0,380.0,14443.0,IT
2021-03-13,26031.0,372944.0,317.0,14970.0,IT
2021-03-14,21304.0,273966.0,264.0,9835.0,IT
2021-03-15,15252.0,179015.0,354.0,15807.0,IT
2021-03-16,20376.0,369375.0,502.0,14116.0,IT
2021-03-17,23040.0,369084.0,431.0,19716.0,IT
2021-03-18,24901.0,353737.0,423.0,15976.0,IT
2021-03-19,25707.0,364822.0,386.0,16292.0,IT
2021-03-20,23913.0,354480.0,401.0,14598.0,IT
2021-03-21,20045.0,277086.0,300.0,13526.0,IT
2021-03-22,24501.0,169196.0,386.0,32720.0,IT
2021-03-23,18739.0,335189.0,551.0,20601.0,IT
2021-03-24,21246.0,363767.0,460.0,20132.0,IT
2021-03-25,23783.0,349472.0,460.0,21673.0,IT
2021-03-26,23974.0,354982.0,457.0,19764.0,IT
2021-03-27,23834.0,357154.0,380.0,18287.0,IT
2021-03-28,19604.0,272630.0,297.0,17950.0,IT
2021-03-29,12900.0,156692.0,417.0,19725.0,IT
2021-03-30,16055.0,301451.0,529.0,18687.0,IT
2021-03-31,22656.0,351221.0,467.0,23744.0,IT
2021-04-01,23415.0,356085.0,501.0,20712.0,IT
2021-04-02,21917.0,331154.0,481.0,19620.0,IT
2021-04-03,21247.0,359214.0,376.0,21311.0,IT
2021-04-04,18017.0,250933.0,326.0,13511.0,IT
2021-04-05,10680.0,102795.0,296.0,9323.0,IT
2021-04-06,7763.0,112962.0,421.0,21733.0,IT
2021-04-07,13686.0,339939.0,627.0,20927.0,IT
2021-04-08,17209.0,362162.0,487.0,20229.0,IT
2021-04-09,18924.0,362973.0,718.0,26175.0,IT
