date,week,region,deaths,tests
2020-07-14,29,PL41,1.0,0.0
2020-07-14,29,PL51,1.0,0.0
2020-07-14,29,PL52,1.0,0.0
2020-07-14,29,PL71,2.0,0.0
2020-07-15,29,PL21,1.0,0.0
2020-07-15,29,PL22,1.0,0.0
2020-07-15,29,PL43,1.0,0.0
2020-07-15,29,PL51,2.0,0.0
2020-07-15,29,PL9,1.0,0.0
2020-07-16,29,PL22,3.0,0.0
2020-07-16,29,PL71,1.0,0.0
2020-07-16,29,PL72,2.0,0.0
2020-07-16,29,PL9,4.0,0.0
2020-07-17,29,PL22,2.0,0.0
2020-07-17,29,PL41,2.0,0.0
2020-07-17,29,PL71,2.0,0.0
2020-07-17,29,PL9,1.0,0.0
2020-07-18,29,PL63,1.0,0.0
2020-07-18,29,PL72,1.0,0.0
2020-07-18,29,PL82,1.0,0.0
2020-07-18,29,PL9,3.0,0.0
2020-07-19,29,PL22,4.0,0.0
2020-07-19,29,PL9,2.0,0.0
2020-07-20,30,PL21,2.0,11722.0
2020-07-20,30,PL62,1.0,2819.0
2020-07-20,30,PL71,1.0,9570.0
2020-07-21,30,PL22,2.0,0.0
2020-07-21,30,PL71,2.0,0.0
2020-07-21,30,PL9,5.0,0.0
2020-07-22,30,PL41,1.0,0.0
2020-07-22,30,PL43,1.0,0.0
2020-07-22,30,PL71,3.0,0.0
2020-07-22,30,PL9,1.0,0.0
2020-07-23,30,PL22,4.0,0.0
2020-07-23,30,PL43,1.0,0.0
2020-07-23,30,PL61,1.0,0.0
2020-07-23,30,PL71,2.0,0.0
2020-07-23,30,PL82,1.0,0.0
2020-07-24,30,PL22,1.0,0.0
2020-07-24,30,PL43,3.0,0.0
2020-07-25,30,PL21,2.0,0.0
2020-07-25,30,PL22,1.0,0.0
2020-07-25,30,PL41,1.0,0.0
2020-07-25,30,PL43,1.0,0.0
2020-07-25,30,PL71,2.0,0.0
2020-07-25,30,PL84,2.0,0.0
2020-07-26,30,PL21,1.0,0.0
2020-07-26,30,PL22,2.0,0.0
2020-07-26,30,PL41,1.0,0.0
2020-07-26,30,PL72,1.0,0.0
2020-07-26,30,PL82,1.0,0.0
2020-07-26,30,PL9,1.0,0.0
2020-07-27,31,PL21,1.0,0.0
2020-07-27,31,PL41,2.0,0.0
