date,week,region,tests,confirmed,deaths,recovered
2020-03-23,13,CZ052,0.0,1.0,0.0,0.0
2020-03-23,13,CZ053,0.0,11.0,0.0,0.0
2020-03-23,13,CZ063,0.0,1.0,0.0,0.0
2020-03-23,13,CZ064,0.0,4.0,0.0,0.0
2020-03-23,13,CZ071,0.0,13.0,0.0,2.0
2020-03-23,13,CZ072,0.0,8.0,0.0,0.0
2020-03-23,13,CZ080,0.0,20.0,0.0,0.0
2020-03-24,13,CZ010,0.0,59.0,1.0,3.0
2020-03-24,13,CZ020,0.0,17.0,0.0,1.0
2020-03-24,13,CZ031,0.0,2.0,0.0,0.0
2020-03-24,13,CZ032,0.0,11.0,0.0,0.0
2020-03-24,13,CZ041,0.0,8.0,0.0,0.0
2020-03-24,13,CZ042,0.0,5.0,0.0,0.0
2020-03-24,13,CZ051,0.0,7.0,0.0,0.0
2020-03-24,13,CZ052,0.0,14.0,0.0,0.0
2020-03-24,13,CZ053,0.0,2.0,0.0,0.0
2020-03-24,13,CZ063,0.0,5.0,0.0,0.0
2020-03-24,13,CZ064,0.0,10.0,0.0,0.0
2020-03-24,13,CZ071,0.0,19.0,0.0,0.0
2020-03-24,13,CZ072,0.0,7.0,0.0,0.0
2020-03-24,13,CZ080,0.0,19.0,1.0,0.0
2020-03-25,13,CZ010,0.0,82.0,4.0,3.0
2020-03-25,13,CZ020,0.0,27.0,1.0,0.0
2020-03-25,13,CZ031,0.0,20.0,0.0,0.0
2020-03-25,13,CZ032,0.0,10.0,0.0,0.0
2020-03-25,13,CZ041,0.0,10.0,0.0,0.0
2020-03-25,13,CZ042,0.0,15.0,0.0,0.0
2020-03-25,13,CZ051,0.0,12.0,0.0,0.0
2020-03-25,13,CZ052,0.0,9.0,0.0,0.0
2020-03-25,13,CZ053,0.0,12.0,1.0,0.0
2020-03-25,13,CZ063,0.0,8.0,0.0,0.0
2020-03-25,13,CZ064,0.0,10.0,0.0,1.0
2020-03-25,13,CZ071,0.0,24.0,1.0,0.0
2020-03-25,13,CZ072,0.0,10.0,0.0,0.0
2020-03-25,13,CZ080,0.0,38.0,0.0,0.0
2020-03-26,13,CZ010,0.0,69.0,0.0,3.0
2020-03-26,13,CZ020,0.0,39.0,0.0,4.0
2020-03-26,13,CZ031,0.0,12.0,0.0,0.0
2020-03-26,13,CZ032,0.0,33.0,0.0,0.0
2020-03-26,13,CZ042,0.0,10.0,0.0,0.0
2020-03-26,13,CZ051,0.0,11.0,0.0,0.0
2020-03-26,13,CZ052,0.0,7.0,0.0,0.0
2020-03-26,13,CZ053,0.0,3.0,0.0,0.0
2020-03-26,13,CZ063,0.0,8.0,0.0,0.0
2020-03-26,13,CZ064,0.0,7.0,0.0,2.0
2020-03-26,13,CZ071,0.0,24.0,0.0,0.0
2020-03-26,13,CZ072,0.0,5.0,0.0,0.0
2020-03-26,13,CZ080,0.0,30.0,0.0,0.0
2020-03-27,13,CZ010,0.0,111.0,2.0,6.0
2020-03-27,13,CZ020,0.0,63.0,0.0,3.0
2020-03-27,13,CZ031,0.0,9.0,0.0,0.0
2020-03-27,13,CZ032,0.0,18.0,0.0,0.0
2020-03-27,13,CZ041,0.0,12.0,0.0,0.0
2020-03-27,13,CZ042,0.0,9.0,0.0,1.0
2020-03-27,13,CZ051,0.0,8.0,0.0,0.0
2020-03-27,13,CZ052,0.0,10.0,0.0,0.0
2020-03-27,13,CZ053,0.0,6.0,0.0,0.0
2020-03-27,13,CZ063,0.0,33.0,0.0,0.0
2020-03-27,13,CZ064,0.0,21.0,0.0,4.0
2020-03-27,13,CZ071,0.0,35.0,0.0,1.0
2020-03-27,13,CZ072,0.0,9.0,0.0,0.0
2020-03-27,13,CZ080,0.0,30.0,0.0,0.0
2020-03-28,13,CZ010,0.0,56.0,3.0,3.0
2020-03-28,13,CZ020,0.0,31.0,0.0,0.0
