"","dates","a","c","b","d","S","E","I","R","D","T","Tcum"
"162","2020-07-30",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0917738750552086,0.00409077639257956,0.0590502946084157,0.622701566250584,0.222383487693213,7623,691602
"163","2020-07-31",0.107246294617653,1,0.0441986173391342,0.0052097886800766,0.0912046889543706,0.00386476395991657,0.0569793094879669,0.625265529850125,0.222685707747621,8206,699808
"164","2020-03-01",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.695391520830795,0.249930482070215,0.0546471140440671,1.07724858762307e-05,2.01105690465863e-05,11,211
"165","2020-03-02",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.682727379809317,0.216213177782571,0.100942626664609,4.07471330204234e-05,7.60686104834691e-05,51,262
"166","2020-03-03",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.663515793971261,0.194521517171608,0.141712420737559,8.72973800714702e-05,0.000162970739501,78,340
"167","2020-03-04",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.638988865201578,0.181562646583853,0.179022114825961,0.000148725614038359,0.000277647774569274,67,407
"168","2020-03-05",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.610162926632452,0.174835200919741,0.214359673698605,0.00022400882855681,0.00041818992064559,76,483
"169","2020-03-06",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.577900521664944,0.172429737756592,0.248773549257381,0.00031260535503665,0.00058358596604602,111,594
"170","2020-03-07",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.542963265138414,0.172873711651464,0.282975267960051,0.000414307350350928,0.000773447899720613,193,787
"171","2020-03-08",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.506051395325043,0.175016643698685,0.31741503519493,0.000529127108559701,0.000987798672782646,141,928
"172","2020-03-09",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.467829231641023,0.177948876106851,0.352337777350847,0.000657208336868354,0.00122690656441203,265,1193
"173","2020-03-10",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.4289375046944,0.180946928936122,0.387825655837211,0.00079875611167158,0.00149115442059645,165,1358
"174","2020-03-11",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.389994498018461,0.183438867831012,0.423831717027203,0.000953981274109772,0.0017809358492144,458,1816
"175","2020-03-12",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.351588557562012,0.184983731133263,0.46020808141361,0.00112305656339432,0.00209657332772166,537,2353
"176","2020-03-13",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.314264924855929,0.185259784301787,0.496730952772982,0.00130608286868656,0.00243825520061627,845,3198
"177","2020-03-14",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.27851002214633,0.184057165616586,0.533123757758407,0.00150306466207685,0.00280598981660093,986,4184
"178","2020-03-15",0.234551183006261,1,0.000382525540328856,0.000714116164017469,0.2447362041109,0.181271399006709,0.569078927169702,0.00171389401778775,0.003199575694901,1028,5212
"179","2020-03-15",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.244041383192466,0.149042603954932,0.592200795709516,0.00596506137065792,0.00875015577242675,1028,5212
"180","2020-03-16",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.243324814554052,0.122675495105975,0.609146659206221,0.0103619859162693,0.0144910452174817,1319,6531
"181","2020-03-17",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.242593321537449,0.101101366595838,0.621072479979155,0.0148638638117399,0.020368968075819,1294,7825
"182","2020-03-18",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.241852412917155,0.0834464235082721,0.628922970400547,0.0194375478352877,0.0263406453387389,1756,9581
"183","2020-03-19",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.241106524419115,0.0689962323344043,0.633470127691193,0.0240561478851201,0.0323709676701689,2259,11840
"184","2020-03-20",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.240359216748917,0.0571666547634584,0.635344740261939,0.0286978867690277,0.0384315014566593,2121,13961
"185","2020-03-21",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.239613337722166,0.0474800827145358,0.635062147457771,0.0333451647212526,0.0444992673842764,1882,15843
"186","2020-03-22",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.238871154846146,0.0395460079203929,0.633043300823102,0.037983794575685,0.0505557418346755,1801,17644
"187","2020-03-23",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.238134463632705,0.0330451355716739,0.629631983868372,0.0426023764683001,0.0565860404589492,2291,19935
"188","2020-03-24",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.237404676014105,0.0277163956426776,0.625108891023263,0.0471917866192329,0.0625782507007228,3062,22997
"189","2020-03-25",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.236682892469215,0.0233463233791017,0.619703138663928,0.0517447593869038,0.0685228861008533,4107,27104
"190","2020-03-26",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.235969960828628,0.019760376809795,0.613601676608137,0.0562555455819359,0.0744124401715064,4633,31737
"191","2020-03-27",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.235266524196235,0.0168158379576358,0.606956983035534,0.0607196331316702,0.0802410216789262,5359,37096
"192","2020-03-28",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.234573059985352,0.0143960088686541,0.599893355936128,0.0651335187231279,0.086004056486738,4224,41320
"193","2020-03-29",0.00489169621141627,1,0.00731435088082931,0.00955005693947896,0.233889911704941,0.0124054662712427,0.592512057077368,0.0694945211265412,0.0916980438199077,2848,44168
"194","2020-03-29",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.232625128498529,0.0113022305549202,0.570157023238449,0.0884875040557506,0.0974281136523514,2848,44168
"195","2020-03-30",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.231414649325762,0.0103497952342388,0.548532170112861,0.106761973178476,0.102941412148662,5159,49327
"196","2020-03-31",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.23025613071923,0.00952294767165706,0.527634053268615,0.124341744027315,0.108245124313183,6661,55988
"197","2020-04-01",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.229147308320701,0.00880097373345563,0.50745489319191,0.141250445815203,0.113346378938731,6102,62090
"198","2020-04-02",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.228086000570632,0.00816683903648832,0.487983553208901,0.15751139632305,0.118252210860929,6673,68763
"199","2020-04-03",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.227070110580965,0.00760652024906152,0.469206331660946,0.173147505602973,0.122969531906055,7398,76161
"200","2020-04-04",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.226097626618508,0.00710845885998563,0.451107602638043,0.188181203007331,0.127505108876132,5837,81998
"201","2020-04-05",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.225166621536925,0.00666311491089976,0.433670333263067,0.20263438306806,0.131865547221048,4812,86810
"202","2020-04-06",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.224275251424197,0.0062626023306944,0.416876500369512,0.216528366578442,0.136057279297155,6435,93245
"203","2020-04-07",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.223421753675657,0.00590039089042295,0.400707425213446,0.229883873904883,0.140086556315591,8173,101418
"204","2020-04-08",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.222604444657459,0.00557106255363138,0.385144041431657,0.242721008107412,0.14395944324984,8469,109887
"205","2020-04-09",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.221821717089367,0.00527011224557257,0.370167108659914,0.255059245897418,0.147681816107729,8180,118067
"206","2020-04-10",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.221072037247074,0.00499378489906442,0.355757381941838,0.26691743482819,0.151259361083834,5702,123769
"207","2020-04-11",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.22035394206157,0.00473894213122642,0.341895745195242,0.278313795413361,0.154697575198601,4891,128660
"208","2020-04-12",0.00932826421912308,1,0.0326747682701194,0.0098577829846181,0.219666036174973,0.00450295312629238,0.328563315481704,0.289265927112781,0.158001768104249,3250,131910
"209","2020-04-12",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219618514615917,0.00372970382679549,0.296671799044672,0.319111737441772,0.160868245070844,3250,131910
"210","2020-04-13",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219575619122715,0.00309243504398032,0.267818029598381,0.346057703530298,0.163456212704625,3215,135125
"211","2020-04-14",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.21953690653886,0.00256689869643841,0.241723362033034,0.370380581296342,0.165792251435325,6173,141298
"212","2020-04-15",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219501974832017,0.00213320491728899,0.21813268770301,0.392331638783357,0.167900493764326,8476,149774
"213","2020-04-16",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219470459528176,0.00177503527182748,0.196812843232245,0.412138829015831,0.16980283295192,8381,158155
"214","2020-04-17",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219442030406113,0.00147899835879387,0.177551042341358,0.430008811705938,0.171519117187798,8288,166443
"215","2020-04-18",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219416388443418,0.00123410199346519,0.160153352869703,0.446128827129921,0.173067329563493,5605,172048
"216","2020-04-19",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219393263003055,0.00103132084989047,0.144443234528292,0.460668427281458,0.174463754337304,4027,176075
"217","2020-04-20",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219372409247977,0.000863242269793798,0.130260147746017,0.473781070636175,0.175723130100037,6567,182642
"218","2020-04-21",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219353605770459,0.000723776081022921,0.11745823997051,0.485605587652143,0.176858790525865,8341,190983
"219","2020-04-22",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219336652422459,0.000607916835007981,0.105905112720305,0.496267524585964,0.177882793436263,8818,199801
"220","2020-04-23",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219321368333241,0.000511548973722334,0.0954806703659121,0.505880373403012,0.178806038924112,7901,207702
"221","2020-04-24",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.21930759010079,0.000431287156581691,0.0860760498899057,0.514546695567061,0.17963837728566,7129,214831
"222","2020-04-25",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219295170143903,0.000364345385722244,0.0775926296158525,0.52235914735941,0.180388707495112,4446,219277
"223","2020-04-26",0.000692676170729101,1,0.0955518003581177,0.00917706813197583,0.219283975202426,0.000308429720759673,0.0699411140027946,0.529401414140265,0.181065066933754,3381,222658
"224","2020-04-26",0.0101271498715505,1,0.0904213654336752,0.00985991350984353,0.219136166767161,0.000386263720881556,0.0633342424261199,0.53542177546333,0.181721551622508,3381,222658
